Variable,Correlacion
nivel_educativo_parental,0.20522443411453842
madre_trabaja_health,0.11615798500405021
domicilio,0.10575606393084062
genero,0.10345564746639284
clases_particulares_pagadas,0.10199624071669916
internet_en_casa,0.09848337126072897
razon_eleccion_escuela_reputation,0.09569223043998626
padre_trabaja_teacher,0.0953740128873365
tamano_familia_LE3,0.08140710977255426
madre_trabaja_services,0.0784288656305437
indice_compromiso_academico,0.06425290647844097
madre_trabaja_teacher,0.057712384587600536
padre_trabaja_health,0.05711054990468315
razon_eleccion_escuela_other,0.05200771650145231
asistio_a_guarderia,0.051567900910917605
calidad_relacion_familiar,0.0513634288812822
tutor_legal_mother,0.022337752197958357
actividades_extracurriculares,0.016099701295814218
tiempo_libre,0.011307240308312975
padre_trabaja_services,-0.016107827246739197
razon_eleccion_escuela_home,-0.021359171689741333
escuela_MS,-0.0450169431133066
padre_trabaja_other,-0.05348341203044536
estado_convivencia_padres,-0.058008984959311366
promedio_alcohol,-0.058244839475609614
estado_salud,-0.06133460487712118
indice_apoyo_educativo,-0.07558632571387883
tutor_legal_other,-0.08777444691256597
madre_trabaja_other,-0.09647736980457627
tiempo_viaje_colegio,-0.11714205281614884
indice_riesgo_social,-0.14647663265239985
edad,-0.1615794381383403
indice_riesgo_academico,-0.30031642681730253
